,KG99,Early Button,DC9,Tec9 Mini Double,Tec9 Mini Single,KG99 mini,AB10
A1,38.25mm,38.25mm,38.38mm,38.25mm,38.35mm,38.18mm,38.15mm
A2,280.75mm,280.82mm,281.90mm,198.79mm,199.53mm,197.60mm,198.64mm
B1,66.98mm,66.50mm,63.74mm,63.65mm,65.19mm,66.81mm,64.49mm
B2,98.75mm,98.96mm,99.02mm,99.10mm,99.17mm,98.42mm,98.82mm
B3,7.88mm,7.81mm,7.89mm,7.70mm,8.07mm,8.02mm,7.59mm
C1,10.54mm,10.30mm,10.43mm,11.12mm,11.48mm,10.81mm,10.75mm
C2,12.80mm,12.75mm,13.11mm,12.69mm,12.78mm,12.70mm,12.83mm
C3,11.50mm,11.29mm,11.63mm,11.89mm,12.40mm,11.66mm,11.74mm
C4,6.25mm,6.07mm,6.37mm,6.15mm,6.19mm,6.20mm,6.37mm
D1,9.50mm,9.38mm,9.34mm,9.55mm,9.36mm,9.43mm,9.55mm
D2,81.49mm,81.43mm,79.95mm,80.39mm,79.96mm,81.12mm,79.89mm
D3,6.20mm,6.33mm,6.29mm,6.36mm,6.44mm,6.41mm,6.43mm
